x,y,z
-31.320,-52.116,2.000
-31.284,-51.971,2.000
-31.248,-51.825,2.000
-31.212,-51.680,2.000
-31.176,-51.534,2.000
-31.140,-51.388,2.000
-31.103,-51.243,2.000
-31.067,-51.097,2.000
-31.031,-50.952,2.000
-30.995,-50.806,2.000
-30.959,-50.661,2.000
-30.923,-50.515,2.000
-30.886,-50.370,2.000
-30.850,-50.224,2.000
-30.814,-50.078,2.000
-30.778,-49.933,2.000
-30.742,-49.787,2.000
-30.706,-49.642,2.000
-30.669,-49.496,2.000
-30.633,-49.351,2.000
-30.597,-49.205,2.000
-30.561,-49.060,2.000
-30.525,-48.914,2.000
-30.488,-48.768,2.000
-30.452,-48.623,2.000
-30.416,-48.477,2.000
-30.380,-48.331,2.000
-30.344,-48.186,2.000
-30.308,-48.040,2.000
-30.271,-47.895,2.000
-30.235,-47.749,2.000
-30.199,-47.604,2.000
-30.163,-47.458,2.000
-30.127,-47.313,2.000
-30.091,-47.167,2.000
-30.054,-47.021,2.000
-30.018,-46.876,2.000
-29.982,-46.730,2.000
-29.946,-46.585,2.000
-29.910,-46.439,2.000
-29.873,-46.293,2.000
-29.837,-46.148,2.000
-29.801,-46.002,2.000
-29.765,-45.857,2.000
-29.729,-45.711,2.000
-29.693,-45.566,2.000
-29.656,-45.420,2.000
-29.620,-45.274,2.000
-29.584,-45.129,2.000
-29.548,-44.983,2.000
-29.512,-44.838,2.000
-29.476,-44.692,2.000
-29.439,-44.546,2.000
-29.403,-44.401,2.000
-29.367,-44.255,2.000
-29.331,-44.110,2.000
-29.295,-43.964,2.000
-29.258,-43.818,2.000
-29.222,-43.673,2.000
-29.186,-43.527,2.000
-29.150,-43.382,2.000
-29.114,-43.236,2.000
-29.078,-43.091,2.000
-29.041,-42.945,2.000
-29.005,-42.799,2.000
-28.969,-42.653,2.000
-28.933,-42.508,2.000
-28.897,-42.363,2.000
-28.860,-42.217,2.000
-28.824,-42.071,2.000
-28.788,-41.926,2.000
-28.752,-41.780,2.000
-28.716,-41.635,2.000
-28.680,-41.489,2.000
-28.643,-41.343,2.000
-28.607,-41.198,2.000
-28.571,-41.052,2.000
-28.535,-40.907,2.000
-28.499,-40.761,2.000
-28.463,-40.616,2.000
-28.426,-40.470,2.000
-28.390,-40.325,2.000
-28.354,-40.179,2.000
-28.318,-40.033,2.000
-28.282,-39.888,2.000
-28.245,-39.742,2.000
-28.209,-39.597,2.000
-28.173,-39.451,2.000
-28.137,-39.305,2.000
-28.101,-39.160,2.000
-28.065,-39.014,2.000
-28.028,-38.869,2.000
-27.992,-38.723,2.000
-27.956,-38.577,2.000
-27.920,-38.432,2.000
-27.884,-38.286,2.000
-27.931,-38.421,1.960
-27.979,-38.557,1.920
-28.026,-38.692,1.880
-28.074,-38.826,1.840
-28.121,-38.961,1.800
-28.168,-39.095,1.760
-28.215,-39.228,1.720
-28.227,-39.377,1.680
-28.239,-39.531,1.639
-28.250,-39.676,1.600
-28.262,-39.825,1.600
-28.274,-39.975,1.600
-28.286,-40.124,1.600
-28.298,-40.274,1.600
-28.300,-40.425,1.600
-28.302,-40.574,1.600
-28.305,-40.724,1.600
-28.307,-40.877,1.600
-28.309,-41.024,1.600
-28.312,-41.174,1.600
-28.312,-41.324,1.600
-28.313,-41.474,1.600
-28.313,-41.624,1.600
-28.314,-41.774,1.600
-28.315,-41.925,1.600
-28.315,-42.074,1.600
-28.315,-42.224,1.600
-28.316,-42.374,1.600
-28.316,-42.524,1.600
-28.316,-42.674,1.600
-28.316,-42.824,1.600
-28.316,-42.974,1.600
-28.317,-43.124,1.600
-28.317,-43.275,1.600
-28.317,-43.424,1.600
-28.317,-43.578,1.600
-28.317,-43.724,1.600
-28.317,-43.874,1.600
-28.317,-44.024,1.600
-28.317,-44.174,1.600
-28.317,-44.324,1.600
-28.317,-44.474,1.600
-28.317,-44.624,1.600
-28.317,-44.774,1.600
-28.317,-44.924,1.600
-28.317,-45.074,1.600
-28.317,-45.224,1.600
-28.317,-45.374,1.600
-28.317,-45.524,1.600
-28.317,-45.674,1.600
-28.317,-45.824,1.600
-28.317,-45.974,1.600
-28.317,-46.124,1.600
-28.317,-46.274,1.600
-28.317,-46.424,1.600
-28.317,-46.574,1.600
-28.317,-46.724,1.600
-28.317,-46.874,1.600
-28.317,-47.024,1.600
-28.317,-47.174,1.600
-28.317,-47.324,1.600
-28.317,-47.474,1.600
-28.317,-47.624,1.600
-28.317,-47.774,1.600
-28.317,-47.924,1.600
-28.317,-48.074,1.600
-28.317,-48.224,1.600
-28.317,-48.374,1.600
-28.317,-48.524,1.600
-28.317,-48.673,1.600
-28.317,-48.824,1.600
-28.219,-48.937,1.640
-28.121,-49.050,1.644
-28.023,-49.164,1.644
-27.924,-49.277,1.684
-27.826,-49.390,1.689
-27.728,-49.504,1.689
-27.630,-49.617,1.689
-27.532,-49.730,1.689
-27.434,-49.844,1.729
-27.335,-49.957,1.733
-27.237,-50.071,1.733
-27.139,-50.184,1.733
-27.041,-50.297,1.773
-26.942,-50.411,1.778
-26.844,-50.524,1.778
-26.746,-50.637,1.778
-26.648,-50.750,1.778
-26.550,-50.864,1.818
-26.452,-50.977,1.822
-26.353,-51.091,1.822
-26.255,-51.204,1.822
-26.157,-51.317,1.862
-26.058,-51.431,1.867
-25.960,-51.544,1.867
-25.862,-51.657,1.867
-25.764,-51.771,1.867
-25.666,-51.884,1.907
-25.568,-51.997,1.911
-25.469,-52.111,1.911
-25.371,-52.224,1.911
-25.273,-52.337,1.911
-25.175,-52.451,1.951
-25.077,-52.564,1.956
-24.978,-52.678,1.956
-24.880,-52.791,1.956
-24.782,-52.904,1.978
-24.684,-53.018,1.978
-24.586,-53.131,1.978
-24.487,-53.244,1.978
-24.389,-53.358,2.000
-24.291,-53.471,2.000
-24.193,-53.584,2.000
-24.095,-53.697,2.000
-23.996,-53.811,2.000
-24.031,-53.672,1.960
-24.065,-53.532,1.920
-24.100,-53.393,1.880
-24.134,-53.254,1.840
-24.169,-53.115,1.800
-24.203,-52.977,1.760
-24.237,-52.839,1.720
-24.271,-52.702,1.680
-24.228,-52.559,1.696
-24.184,-52.416,1.696
-24.141,-52.272,1.696
-24.097,-52.128,1.712
-24.054,-51.985,1.712
-24.010,-51.841,1.712
-23.967,-51.698,1.712
-23.923,-51.554,1.712
-23.880,-51.411,1.728
-23.836,-51.267,1.728
-23.792,-51.123,1.728
-23.749,-50.980,1.744
-23.705,-50.837,1.744
-23.662,-50.693,1.744
-23.618,-50.549,1.744
-23.575,-50.406,1.744
-23.531,-50.262,1.744
-23.488,-50.119,1.759
-23.444,-49.975,1.759
-23.401,-49.832,1.759
-23.357,-49.689,1.774
-23.314,-49.545,1.774
-23.270,-49.401,1.774
-23.226,-49.257,1.774
-23.183,-49.114,1.774
-23.139,-48.971,1.789
-23.096,-48.827,1.789
-23.052,-48.684,1.789
-23.009,-48.540,1.804
-22.965,-48.397,1.804
-22.922,-48.253,1.804
-22.878,-48.109,1.804
-22.835,-47.966,1.804
-22.791,-47.823,1.819
-22.748,-47.679,1.819
-22.704,-47.536,1.819
-22.661,-47.392,1.834
-22.617,-47.248,1.834
-22.573,-47.105,1.834
-22.530,-46.961,1.834
-22.486,-46.818,1.834
-22.443,-46.674,1.834
-22.399,-46.531,1.848
-22.356,-46.387,1.848
-22.312,-46.244,1.848
-22.269,-46.100,1.862
-22.225,-45.956,1.862
-22.182,-45.813,1.862
-22.138,-45.669,1.862
-22.094,-45.526,1.862
-22.051,-45.382,1.876
-22.007,-45.239,1.876
-21.964,-45.095,1.876
-21.920,-44.952,1.890
-21.877,-44.809,1.890
-21.833,-44.665,1.890
-21.790,-44.521,1.890
-21.746,-44.378,1.890
-21.703,-44.234,1.890
-21.659,-44.091,1.903
-21.616,-43.947,1.903
-21.572,-43.804,1.903
-21.529,-43.660,1.903
-21.485,-43.516,1.917
-21.441,-43.372,1.917
-21.398,-43.229,1.917
